Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
3690156655,2592,263,None,None,None,None,None,None,None,None,None,0.000,30.864,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,7,[CUDA memcpy HtoD]
3690399763,1888,276,None,None,None,None,None,None,None,None,None,0.000,2.119,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,7,[CUDA memcpy HtoD]
3691010205,1856,289,None,None,None,None,None,None,None,None,None,0.000,4.310,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,7,[CUDA memcpy HtoD]
3731363454,2336,263,None,None,None,None,None,None,None,None,None,0.000,34.247,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,7,[CUDA memcpy HtoD]
3731614402,1856,276,None,None,None,None,None,None,None,None,None,0.000,2.155,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,7,[CUDA memcpy HtoD]
3732017703,1856,289,None,None,None,None,None,None,None,None,None,0.000,4.310,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,7,[CUDA memcpy HtoD]
4564766042,5728,4070,None,None,None,None,None,None,None,None,None,2.097,366122.893,Device,None,NVIDIA A100-PCIE-40GB (1),1,80,[CUDA memset]
4575704267,5728,4070,None,None,None,None,None,None,None,None,None,2.097,366122.893,Device,None,NVIDIA A100-PCIE-40GB (0),1,80,[CUDA memset]
4578294732,2432,4097,None,None,None,None,None,None,None,None,None,0.002,789.473,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578313772,1856,4101,None,None,None,None,None,None,None,None,None,0.000,4.310,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578333613,2016,4105,None,None,None,None,None,None,None,None,None,0.002,952.380,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578345101,1824,4109,None,None,None,None,None,None,None,None,None,0.000,4.386,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578349205,2464,4097,None,None,None,None,None,None,None,None,None,0.002,779.220,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578358157,2016,4113,None,None,None,None,None,None,None,None,None,0.002,952.380,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578367733,1857,4101,None,None,None,None,None,None,None,None,None,0.000,4.308,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578371117,1856,4117,None,None,None,None,None,None,None,None,None,0.000,4.310,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578382221,2080,4121,None,None,None,None,None,None,None,None,None,0.002,923.076,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578387894,2080,4105,None,None,None,None,None,None,None,None,None,0.002,923.076,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578394317,1888,4125,None,None,None,None,None,None,None,None,None,0.000,4.237,Device,None,NVIDIA A100-PCIE-40GB (0),1,78,[CUDA memset]
4578400150,1888,4109,None,None,None,None,None,None,None,None,None,0.000,4.237,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578421238,2208,4113,None,None,None,None,None,None,None,None,None,0.002,869.564,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578432342,1888,4117,None,None,None,None,None,None,None,None,None,0.000,4.237,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578442583,2112,4121,None,None,None,None,None,None,None,None,None,0.002,909.089,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4578453335,1920,4125,None,None,None,None,None,None,None,None,None,0.000,4.167,Device,None,NVIDIA A100-PCIE-40GB (1),1,78,[CUDA memset]
4580086147,12256,4136,None,None,None,None,None,None,None,None,None,10.486,855554.130,Device,None,NVIDIA A100-PCIE-40GB (0),1,81,[CUDA memset]
4580151186,12384,4136,None,None,None,None,None,None,None,None,None,10.486,846714.634,Device,None,NVIDIA A100-PCIE-40GB (1),1,81,[CUDA memset]
4624123768,12640,4150,None,None,None,None,None,None,None,None,None,10.486,829559.931,Device,None,NVIDIA A100-PCIE-40GB (1),1,82,[CUDA memset]
4624323696,12192,4150,None,None,None,None,None,None,None,None,None,10.486,860042.035,Device,None,NVIDIA A100-PCIE-40GB (0),1,82,[CUDA memset]
4668095479,12128,4164,None,None,None,None,None,None,None,None,None,10.486,864582.369,Device,None,NVIDIA A100-PCIE-40GB (0),1,83,[CUDA memset]
4668132639,12544,4164,None,None,None,None,None,None,None,None,None,10.486,835914.301,Device,None,NVIDIA A100-PCIE-40GB (1),1,83,[CUDA memset]
4716084915,12001,4178,None,None,None,None,None,None,None,None,None,10.486,873736.438,Device,None,NVIDIA A100-PCIE-40GB (0),1,84,[CUDA memset]
4716123205,12225,4178,None,None,None,None,None,None,None,None,None,10.486,857724.682,Device,None,NVIDIA A100-PCIE-40GB (1),1,84,[CUDA memset]
4764061520,5152,4192,None,None,None,None,None,None,None,None,None,2.097,407055.106,Device,None,NVIDIA A100-PCIE-40GB (0),1,85,[CUDA memset]
4764098988,5376,4192,None,None,None,None,None,None,None,None,None,2.097,390093.341,Device,None,NVIDIA A100-PCIE-40GB (1),1,85,[CUDA memset]
4808334077,5248,4206,None,None,None,None,None,None,None,None,None,2.097,399608.119,Device,None,NVIDIA A100-PCIE-40GB (0),1,86,[CUDA memset]
4812003698,5279,4206,None,None,None,None,None,None,None,None,None,2.097,397261.406,Device,None,NVIDIA A100-PCIE-40GB (1),1,86,[CUDA memset]
4855958549,5152,4220,None,None,None,None,None,None,None,None,None,2.097,407055.106,Device,None,NVIDIA A100-PCIE-40GB (0),1,87,[CUDA memset]
4859986456,5408,4220,None,None,None,None,None,None,None,None,None,2.097,387786.473,Device,None,NVIDIA A100-PCIE-40GB (1),1,87,[CUDA memset]
4904012498,5184,4234,None,None,None,None,None,None,None,None,None,2.097,404542.718,Device,None,NVIDIA A100-PCIE-40GB (0),1,88,[CUDA memset]
4908027008,5344,4234,None,None,None,None,None,None,None,None,None,2.097,392429.568,Device,None,NVIDIA A100-PCIE-40GB (1),1,88,[CUDA memset]
4960677618,1888,4240,None,None,None,None,None,None,None,None,None,0.000,50.847,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,79,[CUDA memcpy HtoD]
4960724061,1824,4240,None,None,None,None,None,None,None,None,None,0.000,52.632,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,79,[CUDA memcpy HtoD]
4960916725,1888,4242,None,None,None,None,None,None,None,None,None,0.000,50.847,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,79,[CUDA memcpy HtoD]
4960963840,1823,4242,None,None,None,None,None,None,None,None,None,0.000,52.660,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,79,[CUDA memcpy HtoD]
4961157210,1887,4244,None,None,None,None,None,None,None,None,None,0.000,50.874,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,79,[CUDA memcpy HtoD]
4961202658,1856,4244,None,None,None,None,None,None,None,None,None,0.000,51.724,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,79,[CUDA memcpy HtoD]
4961399646,1920,4246,None,None,None,None,None,None,None,None,None,0.000,50.000,Pageable,Device,NVIDIA A100-PCIE-40GB (1),1,79,[CUDA memcpy HtoD]
4961439654,1856,4246,None,None,None,None,None,None,None,None,None,0.000,51.724,Pageable,Device,NVIDIA A100-PCIE-40GB (0),1,79,[CUDA memcpy HtoD]
